Question Length,Answer Length,Question Word Count,Answer Word Count,Question Sentence Count,Answer Sentence Count,Question Syllable Count,Answer Syllable Count,Question Avg Words per Sentence,Question Avg Syllables per Word,Answer Avg Words per Sentence,Answer Avg Syllables per Word,Usecase Name,User Persona,Explainer Types_/Images/GradCam,Explainer Types_/Images/IntegratedGradients,Explainer Types_/Images/NearestNeighbours,Explainer Types_/Images/SSIMCounterfactuals,Explainer Types_/Images/SSIMNearestNeighbours,Explainer Types_/Misc/AIModelPerformance,Explainer Types_/Tabular/DisCERN,Explainer Types_/Tabular/LIME,Explainer Types_/Text/LIME,Explainer Types_/Text/NLPClassifier,Ideal Cluster
93,1054,17,155,1,7,24,274,17.0,1.411764705882353,22.142857142857142,1.767741935483871,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,4
21,952,4,147,1,6,4,250,4.0,1.0,24.5,1.7006802721088434,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,1
54,514,10,80,1,4,14,140,10.0,1.4,20.0,1.75,Sensor Anomaly Detection (Bosch),ML Engineer,0,1,0,0,0,1,0,0,0,0,9
48,2441,6,311,1,17,14,604,6.0,2.3333333333333335,18.294117647058822,1.9421221864951768,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,8
66,497,11,80,1,4,19,133,11.0,1.7272727272727273,20.0,1.6625,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,4
2,1236,1,190,1,9,1,324,1.0,1.0,21.11111111111111,1.7052631578947368,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,1
71,440,9,66,1,4,14,107,9.0,1.5555555555555556,16.5,1.621212121212121,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,4
53,1246,8,196,1,14,15,312,8.0,1.875,14.0,1.5918367346938775,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,1
114,1147,20,155,2,8,30,253,10.0,1.5,19.375,1.632258064516129,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,4
32,765,5,116,1,7,10,208,5.0,2.0,16.571428571428573,1.793103448275862,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,1,1
82,1248,15,183,1,11,24,351,15.0,1.6,16.636363636363637,1.9180327868852458,Jiva Fracture Detection System,Manager,0,0,0,0,0,1,0,0,0,0,3
129,631,24,95,2,5,35,172,12.0,1.4583333333333333,19.0,1.8105263157894738,Loan Approval System,User,0,0,0,0,0,0,1,1,0,0,2
90,421,16,55,1,3,25,98,16.0,1.5625,18.333333333333332,1.7818181818181817,Loan Approval System,User,0,0,0,0,0,0,1,1,0,0,2
29,43,5,7,1,1,8,9,5.0,1.6,7.0,1.2857142857142858,Sensor Anomaly Detection (Bosch),ML Engineer,0,1,0,0,0,1,0,0,0,0,5
78,1339,14,201,2,9,20,360,7.0,1.4285714285714286,22.333333333333332,1.791044776119403,Sensor Anomaly Detection (Bosch),ML Engineer,0,1,0,0,0,1,0,0,0,0,3
16,365,3,62,1,3,6,104,3.0,2.0,20.666666666666668,1.6774193548387097,Telecom notes diagnosis (BT),ML engineer,0,0,0,0,0,0,0,0,1,0,1
16,1050,2,162,1,8,4,274,2.0,2.0,20.25,1.691358024691358,Telecom notes diagnosis (BT),Telecom Planner,0,0,0,0,0,0,0,0,1,0,1
